league,lat,long,team,rank,color1,color2,class
NBA,34.04306,-118.26722,Los Angeles Clippers, 3,#c8102E,#1d428a,nba
NBA,34.04306,-118.26722,Los Angeles Lakers, 3,#552583,#FDB927,nba
NBA,35.15600, -90.05200,Memphis Grizzlies, 3,#5D76A9,#12173F,nba
NBA,25.78100, -80.18700,Miami Heat, 3,#98002E,#F9A01B,nba
NBA,43.04501, -87.91756,Milwaukee Bucks, 3,#00471B,#EEE1C6,nba
NBA,44.98000, -93.27600,Minnesota Timberwolves, 3,#0C2340,#236192,nba
NBA,29.94900, -90.08200,New Orleans Pelicans, 3,#0C2340,#C8102E,nba
NBA,40.75056, -73.99361,New York Knicks, 3,#006BB6,#F58426,nba
NBA,35.46300, -97.51500,Oklahoma City Thunder, 3,#007ac1,#ef3b24,nba
NBA,28.53900, -81.38400,Orlando Magic, 3,#0077c0,#C4ced4,nba
NBA,39.90111, -75.17194,Philadelphia 76ers, 3,#006bb6,#ed174c,nba
NBA,33.44600,-112.07100,Phoenix Suns, 3,#1d1160,#e56020,nba
NBA,45.53200,-122.66700,Portland Trail Blazers, 3,#E03A3E,#E03A3E,nba
NBA,38.58000,-121.50000,Sacramento Kings, 3,#5a2d81,#63727A,nba
NBA,29.42700, -98.43800,San Antonio Spurs, 3,#c4ced4,#8a8d8f,nba
NBA,43.64333, -79.37917,Toronto Raptors, 3,#ce1141,#A1A1A4,nba
NBA,40.76800,-111.90100,Utah Jazz, 3,#002B5C,#00471B,nba
NBA,38.89806, -77.02083,Washington Wizards, 3,#002B5C,#e31837,nba
NHL,33.80778,-117.87667,Anaheim Ducks, 4,#F47A38,#B9975B,nhl
NHL,42.36630, -71.06223,Boston Bruins, 4,#FFB81C,#FFB81C,nhl
NHL,42.87500, -78.87639,Buffalo Sabres, 4,#003087,#FFB81C,nhl
NHL,51.03750,-114.05194,Calgary Flames, 4,#D2001C,#FAAF19,nhl
NHL,35.80333, -78.72194,Carolina Hurricanes, 4,#CE1126,#A4A9AD,nhl
NHL,41.88056, -87.67417,Chicago Blackhawks, 4,#CF0A2C,#FF671B,nhl
NHL,39.74861,-105.00750,Colorado Avalanche, 4,#6F263D,#236192,nhl
NHL,39.96928, -83.00611,Columbus Blue Jackets, 4,#002654,#ce1126,nhl
NHL,32.79056, -96.81028,Dallas Stars, 4,#006847,#8F8F8C,nhl
NHL,42.34100, -83.05503,Detroit Red Wings, 4,#ce1126,#CE1126,nhl
NHL,53.54692,-113.49807,Edmonton Oilers, 4,#041E42,#FF4C00,nhl
NHL,26.15833, -80.32556,Florida Panthers, 4,#041E42,#c8102E,nhl
NHL,34.04306,-118.26722,Los Angeles Kings, 4,#111111,#A2AAAD,nhl
NHL,44.94472, -93.10111,Minnesota Wild, 4,#A6192E,#154734,nhl
NHL,45.49611, -73.56944,Montreal Canadiens, 4,#AF1E2D,#192168,nhl
NHL,36.15917, -86.77861,Nashville Predators, 4,#FFB81C,#041E42,nhl
NHL,40.73361, -74.17111,New Jersey Devils, 4,#CE1126,#CE1126,nhl
NHL,40.71208, -73.72590,New York Islanders, 4,#00539b,#f47d30,nhl
NHL,40.75056, -73.99361,New York Rangers, 4,#0038A8,#CE1126,nhl
NHL,45.29694, -75.92722,Ottawa Senators, 4,#DA1A32,#B79257,nhl
NHL,39.90111, -75.17194,Philadelphia Flyers, 4,#F74902,#F74902,nhl
NHL,40.43944, -79.98917,Pittsburgh Penguins, 4,#CFC493,#FCB514,nhl
NHL,37.33278,-121.90111,San Jose Sharks, 4,#006D75,#EA7200,nhl
NHL,47.62204,-122.35407,Seattle Kraken, 4,#001628,#99d9d9,nhl
NHL,38.62667, -90.20250,St. Louis Blues, 4,#002F87,#FCB514,nhl
NHL,27.94278, -82.45194,Tampa Bay Lightning, 4,#002868,#002868,nhl
NHL,43.64333, -79.37917,Toronto Maple Leafs, 4,#00205b,#00205B,nhl
NHL,40.76800,-111.90100,Utah Mammoth, 4,#69B3E7,#010101,nhl
NHL,49.27778,-123.10889,Vancouver Canucks, 4,#00205B,#00843d,nhl
NHL,36.10301,-115.17844,Vegas Golden Knights, 4,#B4975A,#333f42,nhl
NHL,38.89806, -77.02083,Washington Capitals, 4,#041E42,#C8102E,nhl
NHL,49.89278, -97.14361,Winnipeg Jets, 4,#041E42,#004C97,nhl
MLS,33.75536, -84.40119,Atlanta United FC, 5,#80000a,#221f1f,mls
MLS,30.38821, -97.71986,Austin FC, 5,#00b140,#00B140,mls
MLS,45.56306, -73.55250,CF Montréal, 5,#9EA1A2,#0033A1,mls
MLS,35.22583, -80.85278,Charlotte FC, 5,#1A85C8,#1A85C8,mls
MLS,41.86230, -87.61670,Chicago Fire FC, 5,#FF0000,#141946,mls
MLS,39.80556,-104.89194,Colorado Rapids, 5,#960A2C,#9CC2EA,mls
