"year","stage","lat1","long1","lat2","long2"
1986,1,40.69167,-89.59417,41.2230048,-111.9738429
1986,1,40.4333222,-86.9161444,30.4507936,-91.1391153
1986,1,40.20694,-85.40611,30.4507936,-91.1391153
1986,1,40.096259,-88.235956,35.2272086,-80.8430827
1986,1,40.034072,-75.336553,30.4507936,-91.1391153
1986,1,39.995245,-75.234806,43.0481221,-76.1474244
1986,1,39.97972,-75.15861,39.7589478,-84.1916069
1986,1,39.956389,-75.190833,41.2230048,-111.9738429
1986,1,39.64917,-79.98111,36.0726355,-79.7919754
1986,1,39.51944,-84.73278,44.9772995,-93.2654692
1986,1,39.18083,-86.52222,43.0481221,-76.1474244
1986,1,39.150148,-84.471881,35.2272086,-80.8430827
1986,1,38.99528,-76.94139,33.7690164,-118.191604
1986,1,38.984491,-76.487782,43.0481221,-76.1474244
1986,1,38.954306,-95.2523944,39.7589478,-84.1916069
1986,1,38.93237,-92.33303,41.2230048,-111.9738429
1986,1,38.89806,-77.02083,39.7589478,-84.1916069
1986,1,38.2575,-85.75389,41.2230048,-111.9738429
1986,1,38.04944,-84.50278,35.2272086,-80.8430827
1986,1,38.046,-78.507,36.0726355,-79.7919754
1986,1,37.580701,-77.538987,43.0481221,-76.1474244
1986,1,37.22222,-80.41889,30.4507936,-91.1391153
1986,1,36.98583,-86.4575,35.2272086,-80.8430827
1986,1,36.8841694,-76.3012306,36.0726355,-79.7919754
1986,1,36.14861,-95.94194,43.0481221,-76.1474244
1986,1,36.12583,-97.065,36.0726355,-79.7919754
1986,1,36.105,-115.14417,33.7690164,-118.191604
1986,1,36.076783,-79.768849,39.7589478,-84.1916069
1986,1,35.9976,-78.9422,36.0726355,-79.7919754
1986,1,35.89972,-79.04389,41.2230048,-111.9738429
1986,1,35.783,-78.67,44.9772995,-93.2654692
1986,1,35.499278,-80.840521,35.2272086,-80.8430827
1986,1,35.13833,-90.05056,30.4507936,-91.1391153
1986,1,34.72778,-92.33972,44.9772995,-93.2654692
1986,1,34.038571,-118.709625,33.7690164,-118.191604
1986,1,33.78083,-84.39278,30.4507936,-91.1391153
1986,1,33.5812611,-101.8866361,39.7589478,-84.1916069
1986,1,33.51406,-90.1893619,36.0726355,-79.7919754
1986,1,33.5021639,-86.8092444,41.2230048,-111.9738429
1986,1,33.202939,-87.539706,35.2272086,-80.8430827
