league,lat,long,team,color1,color2,teamID,metroID
NBA,43.04501, -87.91756,Milwaukee Bucks,#00471B,#EEE1C6, 76, 386
NBA,44.98000, -93.27600,Minnesota Timberwolves,#0C2340,#236192, 77, 160
NBA,29.94900, -90.08200,New Orleans Pelicans,#0C2340,#C8102E, 78, 517
NBA,40.75056, -73.99361,New York Knicks,#006BB6,#F58426, 79,   5
NBA,35.46300, -97.51500,Oklahoma City Thunder,#007ac1,#ef3b24, 80, 577
NBA,28.53900, -81.38400,Orlando Magic,#0077c0,#C4ced4, 81, 249
NBA,39.90111, -75.17194,Philadelphia 76ers,#006bb6,#ed174c, 82,  67
NBA,33.44600,-112.07100,Phoenix Suns,#1d1160,#e56020, 83, 120
NBA,45.53200,-122.66700,Portland Trail Blazers,#E03A3E,#E03A3E, 84, 269
NBA,38.58000,-121.50000,Sacramento Kings,#5a2d81,#63727A, 85, 255
NBA,29.42700, -98.43800,San Antonio Spurs,#c4ced4,#8a8d8f, 86, 392
NBA,43.64333, -79.37917,Toronto Raptors,#ce1141,#A1A1A4, 87,  81
NBA,40.76800,-111.90100,Utah Jazz,#002B5C,#00471B, 88, 340
NBA,38.89806, -77.02083,Washington Wizards,#002B5C,#e31837, 89,  61
NCAA,38.99707,-104.84352,Air Force Falcons,#003087,#8A8D8F, 90, 968
NCAA,41.07259, -81.50835,Akron Zips,#041E42,#A89968, 91, 239
NCAA,33.20828, -87.55038,Alabama Crimson Tide,#9e1b32,#828a8f, 92,2671
NCAA,36.21160, -81.68550,Appalachian State Mountaineers,#222222,#ffcc00, 93,5080
NCAA,33.42645,-111.93257,Arizona State Sun Devils,#8C1D40,#FFC627, 94, 120
NCAA,32.22884,-110.94884,Arizona Wildcats,#CC0033,#003366, 95, 660
NCAA,36.06805, -94.17892,Arkansas Razorbacks,#9D2235,#9D2235, 96,1155
NCAA,35.84891, -90.66719,Arkansas State Red Wolves,#cc092f,#000000, 97,3352
NCAA,41.38755, -73.96407,Army Black Knights,#D4BF91,#B2B4B3, 98, 664
NCAA,32.60221, -85.48913,Auburn Tigers,#0C2340,#E87722, 99,3663
NCAA,40.21595, -85.41684,Ball State Cardinals,#BA0C2F,#BA0C2F,100,2097
NCAA,31.55820, -97.11567,Baylor Bears,#154734,#FFB81C,101,2234
NCAA,43.60284,-116.19587,Boise State Broncos,#D64309,#0033A0,102, 947
NCAA,42.33513, -71.16647,Boston College Eagles,#98002E,#BC9B6A,103,  85
NCAA,41.37801, -83.62250,Bowling Green Falcons,#FE5000,#4F2C1D,104,1034
NCAA,42.99914, -78.77752,Buffalo Bulls,#005BBB,#005BBB,105, 368
NCAA,40.25729,-111.65462,BYU Cougars,#002E5D,#0062B8,106, 969
NCAA,37.87066,-122.25078,California Golden Bears,#003262,#3B7EA1,107,  99
NCAA,43.57763, -84.77085,Central Michigan Chippewas,#6A0032,#FFC82E,108,4414
NCAA,35.31049, -80.74011,Charlotte 49ers,#046A38,#B9975B,109, 357
NCAA,39.13122, -84.51623,Cincinnati Bearcats,#E00122,#E00122,110, 352
NCAA,34.67908, -82.84332,Clemson Tigers,#F56600,#522D80,111, 728
NCAA,33.79280, -79.01746,Coastal Carolina Chanticleers,#006f71,#A27752,112,1632
NCAA,40.00947,-105.26689,Colorado Buffaloes,#CFB87C,#A2A4A3,113, 178
NCAA,40.56989,-105.08843,Colorado State Rams,#1E4D2B,#C8C372,114,1172
NCAA,35.99536, -78.94174,Duke Blue Devils,#003087,#ffffff,115, 444
NCAA,35.59646, -77.36535,East Carolina Pirates,#592A8A,#FDC82F,116,2513
NCAA,42.25588, -83.64738,Eastern Michigan Eagles,#006633,#006633,117, 139
NCAA,25.75250, -80.37789,FIU Panthers,#081E3F,#B6862C,118,  65
NCAA,26.37613, -80.10163,Florida Atlantic Owls,#003366,#CC0000,119, 859
NCAA,29.64994, -82.34868,Florida Gators,#0021A5,#FA4616,120,2311
NCAA,30.43815, -84.30442,Florida State Seminoles,#782F40,#CEB888,121,2090
NCAA,36.81440,-119.75815,Fresno State Bulldogs,#db0032,#002e6d,122, 759
NCAA,33.94981, -83.37334,Georgia Bulldogs,#BA0C2F,#BA0C2F,123,2880
NCAA,32.41220, -81.78314,Georgia Southern Eagles,#011e41,#A3AAAE,124,5171
NCAA,33.73609, -84.38935,Georgia State Panthers,#0039A6,#C60C30,125, 108
