"name","lev","p1","p2","p3","p4"
"College Administrative Building",2,"College & University","College Administrative Building","College Administrative Building","College Administrative Building"
"College Auditorium",2,"College & University","College Auditorium","College Auditorium","College Auditorium"
"College Bookstore",2,"College & University","College Bookstore","College Bookstore","College Bookstore"
"College Cafeteria",2,"College & University","College Cafeteria","College Cafeteria","College Cafeteria"
"College Classroom",2,"College & University","College Classroom","College Classroom","College Classroom"
"College Gym",2,"College & University","College Gym","College Gym","College Gym"
"College Lab",2,"College & University","College Lab","College Lab","College Lab"
"College Library",2,"College & University","College Library","College Library","College Library"
"College Quad",2,"College & University","College Quad","College Quad","College Quad"
"College Rec Center",2,"College & University","College Rec Center","College Rec Center","College Rec Center"
"College Residence Hall",2,"College & University","College Residence Hall","College Residence Hall","College Residence Hall"
"College Stadium",2,"College & University","College Stadium","College Stadium","College Stadium"
"College Baseball Diamond",3,"College & University","College Stadium","College Baseball Diamond","College Baseball Diamond"
"College Basketball Court",3,"College & University","College Stadium","College Basketball Court","College Basketball Court"
"College Cricket Pitch",3,"College & University","College Stadium","College Cricket Pitch","College Cricket Pitch"
"College Football Field",3,"College & University","College Stadium","College Football Field","College Football Field"
"College Hockey Rink",3,"College & University","College Stadium","College Hockey Rink","College Hockey Rink"
"College Soccer Field",3,"College & University","College Stadium","College Soccer Field","College Soccer Field"
"College Tennis Court",3,"College & University","College Stadium","College Tennis Court","College Tennis Court"
"College Track",3,"College & University","College Stadium","College Track","College Track"
"College Theater",2,"College & University","College Theater","College Theater","College Theater"
"Community College",2,"College & University","Community College","Community College","Community College"
"Fraternity House",2,"College & University","Fraternity House","Fraternity House","Fraternity House"
"General College & University",2,"College & University","General College & University","General College & University","General College & University"
"Law School",2,"College & University","Law School","Law School","Law School"
"Medical School",2,"College & University","Medical School","Medical School","Medical School"
"Sorority House",2,"College & University","Sorority House","Sorority House","Sorority House"
"Student Center",2,"College & University","Student Center","Student Center","Student Center"
"Trade School",2,"College & University","Trade School","Trade School","Trade School"
"University",2,"College & University","University","University","University"
"Event",1,"Event","Event","Event","Event"
"Christmas Market",2,"Event","Christmas Market","Christmas Market","Christmas Market"
"Conference",2,"Event","Conference","Conference","Conference"
"Convention",2,"Event","Convention","Convention","Convention"
"Festival",2,"Event","Festival","Festival","Festival"
"Beer Festival",3,"Event","Festival","Beer Festival","Beer Festival"
"Line / Queue",2,"Event","Line / Queue","Line / Queue","Line / Queue"
"Music Festival",2,"Event","Music Festival","Music Festival","Music Festival"
"Other Event",2,"Event","Other Event","Other Event","Other Event"
"Parade",2,"Event","Parade","Parade","Parade"
"Sporting Event",2,"Event","Sporting Event","Sporting Event","Sporting Event"
"Stoop Sale",2,"Event","Stoop Sale","Stoop Sale","Stoop Sale"
"Street Fair",2,"Event","Street Fair","Street Fair","Street Fair"
"Trade Fair",2,"Event","Trade Fair","Trade Fair","Trade Fair"
"Food",1,"Food","Food","Food","Food"
"Afghan Restaurant",2,"Food","Afghan Restaurant","Afghan Restaurant","Afghan Restaurant"
"African Restaurant",2,"Food","African Restaurant","African Restaurant","African Restaurant"
"Ethiopian Restaurant",3,"Food","African Restaurant","Ethiopian Restaurant","Ethiopian Restaurant"
"Mauritian Restaurant",3,"Food","African Restaurant","Mauritian Restaurant","Mauritian Restaurant"
"American Restaurant",2,"Food","American Restaurant","American Restaurant","American Restaurant"
"New American Restaurant",3,"Food","American Restaurant","New American Restaurant","New American Restaurant"
"Armenian Restaurant",2,"Food","Armenian Restaurant","Armenian Restaurant","Armenian Restaurant"
"Asian Restaurant",2,"Food","Asian Restaurant","Asian Restaurant","Asian Restaurant"
"Burmese Restaurant",3,"Food","Asian Restaurant","Burmese Restaurant","Burmese Restaurant"
"Cambodian Restaurant",3,"Food","Asian Restaurant","Cambodian Restaurant","Cambodian Restaurant"
"Chinese Restaurant",3,"Food","Asian Restaurant","Chinese Restaurant","Chinese Restaurant"
"Anhui Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Anhui Restaurant"
"Beijing Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Beijing Restaurant"
"Cantonese Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Cantonese Restaurant"
"Cha Chaan Teng",4,"Food","Asian Restaurant","Chinese Restaurant","Cha Chaan Teng"
"Chinese Aristocrat Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Chinese Aristocrat Restaurant"
"Chinese Breakfast Place",4,"Food","Asian Restaurant","Chinese Restaurant","Chinese Breakfast Place"
"Dim Sum Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Dim Sum Restaurant"
"Dongbei Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Dongbei Restaurant"
"Fujian Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Fujian Restaurant"
"Guizhou Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Guizhou Restaurant"
"Hainan Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Hainan Restaurant"
"Hakka Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Hakka Restaurant"
"Henan Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Henan Restaurant"
"Hong Kong Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Hong Kong Restaurant"
"Huaiyang Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Huaiyang Restaurant"
"Hubei Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Hubei Restaurant"
"Hunan Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Hunan Restaurant"
"Imperial Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Imperial Restaurant"
"Jiangsu Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Jiangsu Restaurant"
"Jiangxi Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Jiangxi Restaurant"
"Macanese Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Macanese Restaurant"
"Manchu Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Manchu Restaurant"
"Peking Duck Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Peking Duck Restaurant"
"Shaanxi Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Shaanxi Restaurant"
"Shandong Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Shandong Restaurant"
"Shanghai Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Shanghai Restaurant"
"Shanxi Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Shanxi Restaurant"
"Szechuan Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Szechuan Restaurant"
"Taiwanese Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Taiwanese Restaurant"
"Tianjin Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Tianjin Restaurant"
"Xinjiang Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Xinjiang Restaurant"
"Yunnan Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Yunnan Restaurant"
"Zhejiang Restaurant",4,"Food","Asian Restaurant","Chinese Restaurant","Zhejiang Restaurant"
"Filipino Restaurant",3,"Food","Asian Restaurant","Filipino Restaurant","Filipino Restaurant"
"Himalayan Restaurant",3,"Food","Asian Restaurant","Himalayan Restaurant","Himalayan Restaurant"
"Hotpot Restaurant",3,"Food","Asian Restaurant","Hotpot Restaurant","Hotpot Restaurant"
"Indonesian Restaurant",3,"Food","Asian Restaurant","Indonesian Restaurant","Indonesian Restaurant"
"Acehnese Restaurant",4,"Food","Asian Restaurant","Indonesian Restaurant","Acehnese Restaurant"
"Balinese Restaurant",4,"Food","Asian Restaurant","Indonesian Restaurant","Balinese Restaurant"
"Betawinese Restaurant",4,"Food","Asian Restaurant","Indonesian Restaurant","Betawinese Restaurant"
"Indonesian Meatball Place",4,"Food","Asian Restaurant","Indonesian Restaurant","Indonesian Meatball Place"
"Javanese Restaurant",4,"Food","Asian Restaurant","Indonesian Restaurant","Javanese Restaurant"
"Manadonese Restaurant",4,"Food","Asian Restaurant","Indonesian Restaurant","Manadonese Restaurant"
