"name","lev","p1","p2","p3","p4"
"Chettinad Restaurant",3,"Food","Indian Restaurant","Chettinad Restaurant","Chettinad Restaurant"
"Dhaba",3,"Food","Indian Restaurant","Dhaba","Dhaba"
"Dosa Place",3,"Food","Indian Restaurant","Dosa Place","Dosa Place"
"Goan Restaurant",3,"Food","Indian Restaurant","Goan Restaurant","Goan Restaurant"
"Gujarati Restaurant",3,"Food","Indian Restaurant","Gujarati Restaurant","Gujarati Restaurant"
"Hyderabadi Restaurant",3,"Food","Indian Restaurant","Hyderabadi Restaurant","Hyderabadi Restaurant"
"Indian Chinese Restaurant",3,"Food","Indian Restaurant","Indian Chinese Restaurant","Indian Chinese Restaurant"
"Indian Sweet Shop",3,"Food","Indian Restaurant","Indian Sweet Shop","Indian Sweet Shop"
"Irani Cafe",3,"Food","Indian Restaurant","Irani Cafe","Irani Cafe"
"Jain Restaurant",3,"Food","Indian Restaurant","Jain Restaurant","Jain Restaurant"
"Karnataka Restaurant",3,"Food","Indian Restaurant","Karnataka Restaurant","Karnataka Restaurant"
"Kerala Restaurant",3,"Food","Indian Restaurant","Kerala Restaurant","Kerala Restaurant"
"Maharashtrian Restaurant",3,"Food","Indian Restaurant","Maharashtrian Restaurant","Maharashtrian Restaurant"
"Mughlai Restaurant",3,"Food","Indian Restaurant","Mughlai Restaurant","Mughlai Restaurant"
"Multicuisine Indian Restaurant",3,"Food","Indian Restaurant","Multicuisine Indian Restaurant","Multicuisine Indian Restaurant"
"North Indian Restaurant",3,"Food","Indian Restaurant","North Indian Restaurant","North Indian Restaurant"
"Northeast Indian Restaurant",3,"Food","Indian Restaurant","Northeast Indian Restaurant","Northeast Indian Restaurant"
"Parsi Restaurant",3,"Food","Indian Restaurant","Parsi Restaurant","Parsi Restaurant"
"Punjabi Restaurant",3,"Food","Indian Restaurant","Punjabi Restaurant","Punjabi Restaurant"
"Rajasthani Restaurant",3,"Food","Indian Restaurant","Rajasthani Restaurant","Rajasthani Restaurant"
"South Indian Restaurant",3,"Food","Indian Restaurant","South Indian Restaurant","South Indian Restaurant"
"Udupi Restaurant",3,"Food","Indian Restaurant","Udupi Restaurant","Udupi Restaurant"
"Irish Pub",2,"Food","Irish Pub","Irish Pub","Irish Pub"
"Italian Restaurant",2,"Food","Italian Restaurant","Italian Restaurant","Italian Restaurant"
"Abruzzo Restaurant",3,"Food","Italian Restaurant","Abruzzo Restaurant","Abruzzo Restaurant"
"Agriturismo",3,"Food","Italian Restaurant","Agriturismo","Agriturismo"
"Aosta Restaurant",3,"Food","Italian Restaurant","Aosta Restaurant","Aosta Restaurant"
"Basilicata Restaurant",3,"Food","Italian Restaurant","Basilicata Restaurant","Basilicata Restaurant"
"Calabria Restaurant",3,"Food","Italian Restaurant","Calabria Restaurant","Calabria Restaurant"
"Campanian Restaurant",3,"Food","Italian Restaurant","Campanian Restaurant","Campanian Restaurant"
"Emilia Restaurant",3,"Food","Italian Restaurant","Emilia Restaurant","Emilia Restaurant"
"Friuli Restaurant",3,"Food","Italian Restaurant","Friuli Restaurant","Friuli Restaurant"
"Ligurian Restaurant",3,"Food","Italian Restaurant","Ligurian Restaurant","Ligurian Restaurant"
"Lombard Restaurant",3,"Food","Italian Restaurant","Lombard Restaurant","Lombard Restaurant"
"Malga",3,"Food","Italian Restaurant","Malga","Malga"
"Marche Restaurant",3,"Food","Italian Restaurant","Marche Restaurant","Marche Restaurant"
"Molise Restaurant",3,"Food","Italian Restaurant","Molise Restaurant","Molise Restaurant"
"Piadineria",3,"Food","Italian Restaurant","Piadineria","Piadineria"
"Piedmontese Restaurant",3,"Food","Italian Restaurant","Piedmontese Restaurant","Piedmontese Restaurant"
"Puglia Restaurant",3,"Food","Italian Restaurant","Puglia Restaurant","Puglia Restaurant"
"Romagna Restaurant",3,"Food","Italian Restaurant","Romagna Restaurant","Romagna Restaurant"
"Roman Restaurant",3,"Food","Italian Restaurant","Roman Restaurant","Roman Restaurant"
"Sardinian Restaurant",3,"Food","Italian Restaurant","Sardinian Restaurant","Sardinian Restaurant"
"Sicilian Restaurant",3,"Food","Italian Restaurant","Sicilian Restaurant","Sicilian Restaurant"
"South Tyrolean Restaurant",3,"Food","Italian Restaurant","South Tyrolean Restaurant","South Tyrolean Restaurant"
"Trattoria/Osteria",3,"Food","Italian Restaurant","Trattoria/Osteria","Trattoria/Osteria"
"Trentino Restaurant",3,"Food","Italian Restaurant","Trentino Restaurant","Trentino Restaurant"
"Tuscan Restaurant",3,"Food","Italian Restaurant","Tuscan Restaurant","Tuscan Restaurant"
"Umbrian Restaurant",3,"Food","Italian Restaurant","Umbrian Restaurant","Umbrian Restaurant"
"Veneto Restaurant",3,"Food","Italian Restaurant","Veneto Restaurant","Veneto Restaurant"
"Jewish Restaurant",2,"Food","Jewish Restaurant","Jewish Restaurant","Jewish Restaurant"
"Kosher Restaurant",3,"Food","Jewish Restaurant","Kosher Restaurant","Kosher Restaurant"
"Juice Bar",2,"Food","Juice Bar","Juice Bar","Juice Bar"
"Kebab Restaurant",2,"Food","Kebab Restaurant","Kebab Restaurant","Kebab Restaurant"
"Latin American Restaurant",2,"Food","Latin American Restaurant","Latin American Restaurant","Latin American Restaurant"
"Arepa Restaurant",3,"Food","Latin American Restaurant","Arepa Restaurant","Arepa Restaurant"
"Empanada Restaurant",3,"Food","Latin American Restaurant","Empanada Restaurant","Empanada Restaurant"
"Honduran Restaurant",3,"Food","Latin American Restaurant","Honduran Restaurant","Honduran Restaurant"
"Salvadoran Restaurant",3,"Food","Latin American Restaurant","Salvadoran Restaurant","Salvadoran Restaurant"
"South American Restaurant",3,"Food","Latin American Restaurant","South American Restaurant","South American Restaurant"
"Argentinian Restaurant",4,"Food","Latin American Restaurant","South American Restaurant","Argentinian Restaurant"
"Brazilian Restaurant",4,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Acai House",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Baiano Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Central Brazilian Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Churrascaria",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Empada House",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Goiano Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Mineiro Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Northeastern Brazilian Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Northern Brazilian Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Pastelaria",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Southeastern Brazilian Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Southern Brazilian Restaurant",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Tapiocaria",5,"Food","Latin American Restaurant","South American Restaurant","Brazilian Restaurant"
"Colombian Restaurant",4,"Food","Latin American Restaurant","South American Restaurant","Colombian Restaurant"
"Peruvian Restaurant",4,"Food","Latin American Restaurant","South American Restaurant","Peruvian Restaurant"
"Peruvian Roast Chicken Joint",5,"Food","Latin American Restaurant","South American Restaurant","Peruvian Restaurant"
"Venezuelan Restaurant",4,"Food","Latin American Restaurant","South American Restaurant","Venezuelan Restaurant"
"Mac & Cheese Joint",2,"Food","Mac & Cheese Joint","Mac & Cheese Joint","Mac & Cheese Joint"
"Mediterranean Restaurant",2,"Food","Mediterranean Restaurant","Mediterranean Restaurant","Mediterranean Restaurant"
"Moroccan Restaurant",3,"Food","Mediterranean Restaurant","Moroccan Restaurant","Moroccan Restaurant"
"Mexican Restaurant",2,"Food","Mexican Restaurant","Mexican Restaurant","Mexican Restaurant"
"Botanero",3,"Food","Mexican Restaurant","Botanero","Botanero"
"Burrito Place",3,"Food","Mexican Restaurant","Burrito Place","Burrito Place"
"Taco Place",3,"Food","Mexican Restaurant","Taco Place","Taco Place"
"Tex-Mex Restaurant",3,"Food","Mexican Restaurant","Tex-Mex Restaurant","Tex-Mex Restaurant"
"Yucatecan Restaurant",3,"Food","Mexican Restaurant","Yucatecan Restaurant","Yucatecan Restaurant"
"Middle Eastern Restaurant",2,"Food","Middle Eastern Restaurant","Middle Eastern Restaurant","Middle Eastern Restaurant"
"Egyptian Restaurant",3,"Food","Middle Eastern Restaurant","Egyptian Restaurant","Egyptian Restaurant"
"Iraqi Restaurant",3,"Food","Middle Eastern Restaurant","Iraqi Restaurant","Iraqi Restaurant"
"Israeli Restaurant",3,"Food","Middle Eastern Restaurant","Israeli Restaurant","Israeli Restaurant"
"Kurdish Restaurant",3,"Food","Middle Eastern Restaurant","Kurdish Restaurant","Kurdish Restaurant"
"Lebanese Restaurant",3,"Food","Middle Eastern Restaurant","Lebanese Restaurant","Lebanese Restaurant"
"Persian Restaurant",3,"Food","Middle Eastern Restaurant","Persian Restaurant","Persian Restaurant"
"Ash and Haleem Place",4,"Food","Middle Eastern Restaurant","Persian Restaurant","Ash and Haleem Place"
"Dizi Place",4,"Food","Middle Eastern Restaurant","Persian Restaurant","Dizi Place"
"Gilaki Restaurant",4,"Food","Middle Eastern Restaurant","Persian Restaurant","Gilaki Restaurant"
"Jegaraki",4,"Food","Middle Eastern Restaurant","Persian Restaurant","Jegaraki"
"Tabbakhi",4,"Food","Middle Eastern Restaurant","Persian Restaurant","Tabbakhi"
"Shawarma Place",3,"Food","Middle Eastern Restaurant","Shawarma Place","Shawarma Place"
"Syrian Restaurant",3,"Food","Middle Eastern Restaurant","Syrian Restaurant","Syrian Restaurant"
"Yemeni Restaurant",3,"Food","Middle Eastern Restaurant","Yemeni Restaurant","Yemeni Restaurant"
"Modern European Restaurant",2,"Food","Modern European Restaurant","Modern European Restaurant","Modern European Restaurant"
"Molecular Gastronomy Restaurant",2,"Food","Molecular Gastronomy Restaurant","Molecular Gastronomy Restaurant","Molecular Gastronomy Restaurant"
"Pakistani Restaurant",2,"Food","Pakistani Restaurant","Pakistani Restaurant","Pakistani Restaurant"
"Pet Café",2,"Food","Pet Café","Pet Café","Pet Café"
"Pizza Place",2,"Food","Pizza Place","Pizza Place","Pizza Place"
"Polish Restaurant",2,"Food","Polish Restaurant","Polish Restaurant","Polish Restaurant"
"Portuguese Restaurant",2,"Food","Portuguese Restaurant","Portuguese Restaurant","Portuguese Restaurant"
"Poutine Place",2,"Food","Poutine Place","Poutine Place","Poutine Place"
"Restaurant",2,"Food","Restaurant","Restaurant","Restaurant"
"Russian Restaurant",2,"Food","Russian Restaurant","Russian Restaurant","Russian Restaurant"
"Blini House",3,"Food","Russian Restaurant","Blini House","Blini House"
"Pelmeni House",3,"Food","Russian Restaurant","Pelmeni House","Pelmeni House"
"Salad Place",2,"Food","Salad Place","Salad Place","Salad Place"
"Sandwich Place",2,"Food","Sandwich Place","Sandwich Place","Sandwich Place"
"Scandinavian Restaurant",2,"Food","Scandinavian Restaurant","Scandinavian Restaurant","Scandinavian Restaurant"
"Scottish Restaurant",2,"Food","Scottish Restaurant","Scottish Restaurant","Scottish Restaurant"
"Seafood Restaurant",2,"Food","Seafood Restaurant","Seafood Restaurant","Seafood Restaurant"
"Slovak Restaurant",2,"Food","Slovak Restaurant","Slovak Restaurant","Slovak Restaurant"
"Snack Place",2,"Food","Snack Place","Snack Place","Snack Place"
"Soup Place",2,"Food","Soup Place","Soup Place","Soup Place"
"Southern / Soul Food Restaurant",2,"Food","Southern / Soul Food Restaurant","Southern / Soul Food Restaurant","Southern / Soul Food Restaurant"
"Spanish Restaurant",2,"Food","Spanish Restaurant","Spanish Restaurant","Spanish Restaurant"
"Paella Restaurant",3,"Food","Spanish Restaurant","Paella Restaurant","Paella Restaurant"
"Tapas Restaurant",3,"Food","Spanish Restaurant","Tapas Restaurant","Tapas Restaurant"
"Sri Lankan Restaurant",2,"Food","Sri Lankan Restaurant","Sri Lankan Restaurant","Sri Lankan Restaurant"
"Steakhouse",2,"Food","Steakhouse","Steakhouse","Steakhouse"
"Swiss Restaurant",2,"Food","Swiss Restaurant","Swiss Restaurant","Swiss Restaurant"
"Tea Room",2,"Food","Tea Room","Tea Room","Tea Room"
"Theme Restaurant",2,"Food","Theme Restaurant","Theme Restaurant","Theme Restaurant"
"Turkish Restaurant",2,"Food","Turkish Restaurant","Turkish Restaurant","Turkish Restaurant"
"Borek Place",3,"Food","Turkish Restaurant","Borek Place","Borek Place"
"Cigkofte Place",3,"Food","Turkish Restaurant","Cigkofte Place","Cigkofte Place"
"Doner Restaurant",3,"Food","Turkish Restaurant","Doner Restaurant","Doner Restaurant"
"Gozleme Place",3,"Food","Turkish Restaurant","Gozleme Place","Gozleme Place"
"Kofte Place",3,"Food","Turkish Restaurant","Kofte Place","Kofte Place"
"Kokoreç Restaurant",3,"Food","Turkish Restaurant","Kokoreç Restaurant","Kokoreç Restaurant"
"Kumpir Restaurant",3,"Food","Turkish Restaurant","Kumpir Restaurant","Kumpir Restaurant"
"Kumru Restaurant",3,"Food","Turkish Restaurant","Kumru Restaurant","Kumru Restaurant"
"Manti Place",3,"Food","Turkish Restaurant","Manti Place","Manti Place"
"Meyhane",3,"Food","Turkish Restaurant","Meyhane","Meyhane"
"Pide Place",3,"Food","Turkish Restaurant","Pide Place","Pide Place"
"Pilavcı",3,"Food","Turkish Restaurant","Pilavcı","Pilavcı"
"Söğüş Place",3,"Food","Turkish Restaurant","Söğüş Place","Söğüş Place"
"Tantuni Place",3,"Food","Turkish Restaurant","Tantuni Place","Tantuni Place"
"Turkish Coffeehouse",3,"Food","Turkish Restaurant","Turkish Coffeehouse","Turkish Coffeehouse"
"Turkish Home Cooking Restaurant",3,"Food","Turkish Restaurant","Turkish Home Cooking Restaurant","Turkish Home Cooking Restaurant"
"Çöp Şiş Place",3,"Food","Turkish Restaurant","Çöp Şiş Place","Çöp Şiş Place"
"Ukrainian Restaurant",2,"Food","Ukrainian Restaurant","Ukrainian Restaurant","Ukrainian Restaurant"
"Varenyky restaurant",3,"Food","Ukrainian Restaurant","Varenyky restaurant","Varenyky restaurant"
"West-Ukrainian Restaurant",3,"Food","Ukrainian Restaurant","West-Ukrainian Restaurant","West-Ukrainian Restaurant"
"Vegetarian / Vegan Restaurant",2,"Food","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurant","Vegetarian / Vegan Restaurant"
"Waffle Shop",2,"Food","Waffle Shop","Waffle Shop","Waffle Shop"
"Wings Joint",2,"Food","Wings Joint","Wings Joint","Wings Joint"
"Nightlife Spot",1,"Nightlife Spot","Nightlife Spot","Nightlife Spot","Nightlife Spot"
"Bar",2,"Nightlife Spot","Bar","Bar","Bar"
"Beach Bar",3,"Nightlife Spot","Bar","Beach Bar","Beach Bar"
"Beer Bar",3,"Nightlife Spot","Bar","Beer Bar","Beer Bar"
"Beer Garden",3,"Nightlife Spot","Bar","Beer Garden","Beer Garden"
"Champagne Bar",3,"Nightlife Spot","Bar","Champagne Bar","Champagne Bar"
"Cocktail Bar",3,"Nightlife Spot","Bar","Cocktail Bar","Cocktail Bar"
"Dive Bar",3,"Nightlife Spot","Bar","Dive Bar","Dive Bar"
"Gay Bar",3,"Nightlife Spot","Bar","Gay Bar","Gay Bar"
"Hookah Bar",3,"Nightlife Spot","Bar","Hookah Bar","Hookah Bar"
"Hotel Bar",3,"Nightlife Spot","Bar","Hotel Bar","Hotel Bar"
"Ice Bar",3,"Nightlife Spot","Bar","Ice Bar","Ice Bar"
"Karaoke Bar",3,"Nightlife Spot","Bar","Karaoke Bar","Karaoke Bar"
"Pub",3,"Nightlife Spot","Bar","Pub","Pub"
"Rooftop Bar",3,"Nightlife Spot","Bar","Rooftop Bar","Rooftop Bar"
"Sake Bar",3,"Nightlife Spot","Bar","Sake Bar","Sake Bar"
"Speakeasy",3,"Nightlife Spot","Bar","Speakeasy","Speakeasy"
"Sports Bar",3,"Nightlife Spot","Bar","Sports Bar","Sports Bar"
"Tiki Bar",3,"Nightlife Spot","Bar","Tiki Bar","Tiki Bar"
"Whisky Bar",3,"Nightlife Spot","Bar","Whisky Bar","Whisky Bar"
"Wine Bar",3,"Nightlife Spot","Bar","Wine Bar","Wine Bar"
"Brewery",2,"Nightlife Spot","Brewery","Brewery","Brewery"
"Lounge",2,"Nightlife Spot","Lounge","Lounge","Lounge"
"Night Market",2,"Nightlife Spot","Night Market","Night Market","Night Market"
"Nightclub",2,"Nightlife Spot","Nightclub","Nightclub","Nightclub"
"Other Nightlife",2,"Nightlife Spot","Other Nightlife","Other Nightlife","Other Nightlife"
"Strip Club",2,"Nightlife Spot","Strip Club","Strip Club","Strip Club"
"Outdoors & Recreation",1,"Outdoors & Recreation","Outdoors & Recreation","Outdoors & Recreation","Outdoors & Recreation"
"Athletics & Sports",2,"Outdoors & Recreation","Athletics & Sports","Athletics & Sports","Athletics & Sports"
"Badminton Court",3,"Outdoors & Recreation","Athletics & Sports","Badminton Court","Badminton Court"
"Baseball Field",3,"Outdoors & Recreation","Athletics & Sports","Baseball Field","Baseball Field"
"Basketball Court",3,"Outdoors & Recreation","Athletics & Sports","Basketball Court","Basketball Court"
"Bowling Green",3,"Outdoors & Recreation","Athletics & Sports","Bowling Green","Bowling Green"
"Curling Ice",3,"Outdoors & Recreation","Athletics & Sports","Curling Ice","Curling Ice"
"Golf Course",3,"Outdoors & Recreation","Athletics & Sports","Golf Course","Golf Course"
"Golf Driving Range",3,"Outdoors & Recreation","Athletics & Sports","Golf Driving Range","Golf Driving Range"
"Gym / Fitness Center",3,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Gym / Fitness Center"
"Boxing Gym",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Boxing Gym"
"Climbing Gym",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Climbing Gym"
"Cycle Studio",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Cycle Studio"
"Gym Pool",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Gym Pool"
"Gymnastics Gym",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Gymnastics Gym"
"Gym",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Gym"
"Martial Arts School",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Martial Arts School"
"Outdoor Gym",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Outdoor Gym"
"Pilates Studio",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Pilates Studio"
"Track",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Track"
"Weight Loss Center",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Weight Loss Center"
"Yoga Studio",4,"Outdoors & Recreation","Athletics & Sports","Gym / Fitness Center","Yoga Studio"
"Hockey Field",3,"Outdoors & Recreation","Athletics & Sports","Hockey Field","Hockey Field"
"Hockey Rink",3,"Outdoors & Recreation","Athletics & Sports","Hockey Rink","Hockey Rink"
"Paintball Field",3,"Outdoors & Recreation","Athletics & Sports","Paintball Field","Paintball Field"
"Rugby Pitch",3,"Outdoors & Recreation","Athletics & Sports","Rugby Pitch","Rugby Pitch"
"Skate Park",3,"Outdoors & Recreation","Athletics & Sports","Skate Park","Skate Park"
"Skating Rink",3,"Outdoors & Recreation","Athletics & Sports","Skating Rink","Skating Rink"
"Soccer Field",3,"Outdoors & Recreation","Athletics & Sports","Soccer Field","Soccer Field"
"Sports Club",3,"Outdoors & Recreation","Athletics & Sports","Sports Club","Sports Club"
"Squash Court",3,"Outdoors & Recreation","Athletics & Sports","Squash Court","Squash Court"
"Tennis Court",3,"Outdoors & Recreation","Athletics & Sports","Tennis Court","Tennis Court"
"Volleyball Court",3,"Outdoors & Recreation","Athletics & Sports","Volleyball Court","Volleyball Court"
"Bathing Area",2,"Outdoors & Recreation","Bathing Area","Bathing Area","Bathing Area"
"Bay",2,"Outdoors & Recreation","Bay","Bay","Bay"
"Beach",2,"Outdoors & Recreation","Beach","Beach","Beach"
"Nudist Beach",3,"Outdoors & Recreation","Beach","Nudist Beach","Nudist Beach"
"Surf Spot",3,"Outdoors & Recreation","Beach","Surf Spot","Surf Spot"
"Bike Trail",2,"Outdoors & Recreation","Bike Trail","Bike Trail","Bike Trail"
"Boat Launch",2,"Outdoors & Recreation","Boat Launch","Boat Launch","Boat Launch"
"Botanical Garden",2,"Outdoors & Recreation","Botanical Garden","Botanical Garden","Botanical Garden"
"Bridge",2,"Outdoors & Recreation","Bridge","Bridge","Bridge"
"Campground",2,"Outdoors & Recreation","Campground","Campground","Campground"
"Canal Lock",2,"Outdoors & Recreation","Canal Lock","Canal Lock","Canal Lock"
"Canal",2,"Outdoors & Recreation","Canal","Canal","Canal"
"Castle",2,"Outdoors & Recreation","Castle","Castle","Castle"
"Cave",2,"Outdoors & Recreation","Cave","Cave","Cave"
"Cemetery",2,"Outdoors & Recreation","Cemetery","Cemetery","Cemetery"
"Dam",2,"Outdoors & Recreation","Dam","Dam","Dam"
"Dive Spot",2,"Outdoors & Recreation","Dive Spot","Dive Spot","Dive Spot"
"Dog Run",2,"Outdoors & Recreation","Dog Run","Dog Run","Dog Run"
"Farm",2,"Outdoors & Recreation","Farm","Farm","Farm"
"Field",2,"Outdoors & Recreation","Field","Field","Field"
"Fishing Spot",2,"Outdoors & Recreation","Fishing Spot","Fishing Spot","Fishing Spot"
"Forest",2,"Outdoors & Recreation","Forest","Forest","Forest"
"Fountain",2,"Outdoors & Recreation","Fountain","Fountain","Fountain"
"Garden",2,"Outdoors & Recreation","Garden","Garden","Garden"
"Gun Range",2,"Outdoors & Recreation","Gun Range","Gun Range","Gun Range"
"Harbor / Marina",2,"Outdoors & Recreation","Harbor / Marina","Harbor / Marina","Harbor / Marina"
"Hill",2,"Outdoors & Recreation","Hill","Hill","Hill"
"Hot Spring",2,"Outdoors & Recreation","Hot Spring","Hot Spring","Hot Spring"
"Indoor Play Area",2,"Outdoors & Recreation","Indoor Play Area","Indoor Play Area","Indoor Play Area"
"Island",2,"Outdoors & Recreation","Island","Island","Island"
"Lake",2,"Outdoors & Recreation","Lake","Lake","Lake"
"Lighthouse",2,"Outdoors & Recreation","Lighthouse","Lighthouse","Lighthouse"
"Mountain Hut",2,"Outdoors & Recreation","Mountain Hut","Mountain Hut","Mountain Hut"
"Mountain",2,"Outdoors & Recreation","Mountain","Mountain","Mountain"
"National Park",2,"Outdoors & Recreation","National Park","National Park","National Park"
"Nature Preserve",2,"Outdoors & Recreation","Nature Preserve","Nature Preserve","Nature Preserve"
"Other Great Outdoors",2,"Outdoors & Recreation","Other Great Outdoors","Other Great Outdoors","Other Great Outdoors"
"Palace",2,"Outdoors & Recreation","Palace","Palace","Palace"
"Park",2,"Outdoors & Recreation","Park","Park","Park"
"Pedestrian Plaza",2,"Outdoors & Recreation","Pedestrian Plaza","Pedestrian Plaza","Pedestrian Plaza"
"Picnic Area",2,"Outdoors & Recreation","Picnic Area","Picnic Area","Picnic Area"
"Picnic Shelter",2,"Outdoors & Recreation","Picnic Shelter","Picnic Shelter","Picnic Shelter"
"Playground",2,"Outdoors & Recreation","Playground","Playground","Playground"
"Plaza",2,"Outdoors & Recreation","Plaza","Plaza","Plaza"
"Pool",2,"Outdoors & Recreation","Pool","Pool","Pool"
"Rafting",2,"Outdoors & Recreation","Rafting","Rafting","Rafting"
"Recreation Center",2,"Outdoors & Recreation","Recreation Center","Recreation Center","Recreation Center"
"Reservoir",2,"Outdoors & Recreation","Reservoir","Reservoir","Reservoir"
"River",2,"Outdoors & Recreation","River","River","River"
"Rock Climbing Spot",2,"Outdoors & Recreation","Rock Climbing Spot","Rock Climbing Spot","Rock Climbing Spot"
"Roof Deck",2,"Outdoors & Recreation","Roof Deck","Roof Deck","Roof Deck"
"Scenic Lookout",2,"Outdoors & Recreation","Scenic Lookout","Scenic Lookout","Scenic Lookout"
"Sculpture Garden",2,"Outdoors & Recreation","Sculpture Garden","Sculpture Garden","Sculpture Garden"
"Ski Area",2,"Outdoors & Recreation","Ski Area","Ski Area","Ski Area"
"Apres Ski Bar",3,"Outdoors & Recreation","Ski Area","Apres Ski Bar","Apres Ski Bar"
"Ski Chairlift",3,"Outdoors & Recreation","Ski Area","Ski Chairlift","Ski Chairlift"
"Ski Chalet",3,"Outdoors & Recreation","Ski Area","Ski Chalet","Ski Chalet"
"Ski Lodge",3,"Outdoors & Recreation","Ski Area","Ski Lodge","Ski Lodge"
"Ski Trail",3,"Outdoors & Recreation","Ski Area","Ski Trail","Ski Trail"
"Skydiving Drop Zone",2,"Outdoors & Recreation","Skydiving Drop Zone","Skydiving Drop Zone","Skydiving Drop Zone"
"Stables",2,"Outdoors & Recreation","Stables","Stables","Stables"
"State / Provincial Park",2,"Outdoors & Recreation","State / Provincial Park","State / Provincial Park","State / Provincial Park"
"States & Municipalities",2,"Outdoors & Recreation","States & Municipalities","States & Municipalities","States & Municipalities"
"City",3,"Outdoors & Recreation","States & Municipalities","City","City"
"County",3,"Outdoors & Recreation","States & Municipalities","County","County"
"Country",3,"Outdoors & Recreation","States & Municipalities","Country","Country"
"Neighborhood",3,"Outdoors & Recreation","States & Municipalities","Neighborhood","Neighborhood"
"State",3,"Outdoors & Recreation","States & Municipalities","State","State"
"Town",3,"Outdoors & Recreation","States & Municipalities","Town","Town"
"Village",3,"Outdoors & Recreation","States & Municipalities","Village","Village"
"Summer Camp",2,"Outdoors & Recreation","Summer Camp","Summer Camp","Summer Camp"
"Trail",2,"Outdoors & Recreation","Trail","Trail","Trail"
"Tree",2,"Outdoors & Recreation","Tree","Tree","Tree"
"Vineyard",2,"Outdoors & Recreation","Vineyard","Vineyard","Vineyard"
"Volcano",2,"Outdoors & Recreation","Volcano","Volcano","Volcano"
"Waterfall",2,"Outdoors & Recreation","Waterfall","Waterfall","Waterfall"
"Waterfront",2,"Outdoors & Recreation","Waterfront","Waterfront","Waterfront"
"Well",2,"Outdoors & Recreation","Well","Well","Well"
"Windmill",2,"Outdoors & Recreation","Windmill","Windmill","Windmill"
"Professional & Other Places",1,"Professional & Other Places","Professional & Other Places","Professional & Other Places","Professional & Other Places"
"Animal Shelter",2,"Professional & Other Places","Animal Shelter","Animal Shelter","Animal Shelter"
"Architecture Firm",2,"Professional & Other Places","Architecture Firm","Architecture Firm","Architecture Firm"
"Art Studio",2,"Professional & Other Places","Art Studio","Art Studio","Art Studio"
"Auditorium",2,"Professional & Other Places","Auditorium","Auditorium","Auditorium"
"Ballroom",2,"Professional & Other Places","Ballroom","Ballroom","Ballroom"
"Building",2,"Professional & Other Places","Building","Building","Building"
"Business Center",2,"Professional & Other Places","Business Center","Business Center","Business Center"
"Cidery",2,"Professional & Other Places","Cidery","Cidery","Cidery"
"Club House",2,"Professional & Other Places","Club House","Club House","Club House"
"Community Center",2,"Professional & Other Places","Community Center","Community Center","Community Center"
"Convention Center",2,"Professional & Other Places","Convention Center","Convention Center","Convention Center"
"Meeting Room",3,"Professional & Other Places","Convention Center","Meeting Room","Meeting Room"
"Cultural Center",2,"Professional & Other Places","Cultural Center","Cultural Center","Cultural Center"
"Distillery",2,"Professional & Other Places","Distillery","Distillery","Distillery"
"Distribution Center",2,"Professional & Other Places","Distribution Center","Distribution Center","Distribution Center"
"Event Space",2,"Professional & Other Places","Event Space","Event Space","Event Space"
"Outdoor Event Space",3,"Professional & Other Places","Event Space","Outdoor Event Space","Outdoor Event Space"
"Factory",2,"Professional & Other Places","Factory","Factory","Factory"
"Fair",2,"Professional & Other Places","Fair","Fair","Fair"
