"metro","lat","long","country","capital","population","state"
"Latina",41.4676,12.9037,"Italy","minor",583771,""
"Aparri",18.355,121.6419,"Philippines","",508264,""
"Garanhuns",-8.8903,-36.4928,"Brazil","",606557,""
"Lipetsk",52.6167,39.6,"Russia","admin",698090,""
"Baybay",10.6833,124.8333,"Philippines","",761975,""
"Selçuklu",37.9312,32.4996,"Turkey","minor",1373422,""
"Sevastopol",44.6,33.5333,"Ukraine","admin",574654,""
"Surakarta",-7.5667,110.8167,"Indonesia","",7129259,""
"Mazār-e Sharīf",36.7,67.1167,"Afghanistan","admin",1166216,""
"Augusta",33.3645,-82.0708,"United States","",580042,"GA"
"Beni",0.4911,29.4731,"Congo (Kinshasa)","",2486713,""
"Dahūk",36.85,42.9833,"Iraq","admin",2180121,""
"Amrāvati",20.9333,77.75,"India","",2611359,""
"Bislig",8.1833,126.35,"Philippines","",614369,""
"Pālakollu",16.5333,81.7333,"India","",2070942,""
"Tabūk",28.3838,36.555,"Saudi Arabia","admin",491177,""
"Yogyakarta",-7.8014,110.3644,"Indonesia","admin",4310219,""
"Homyel’",52.4417,30.9833,"Belarus","admin",739061,""
"Barnstable",41.6722,-70.3599,"United States","",336076,"MA"
"Sievierodonetsk",48.95,38.4833,"Ukraine","minor",648096,""
"Lancaster",34.6935,-118.1753,"United States","",388906,"CA"
"Kharagpur",22.3302,87.3237,"India","",5314001,""
"Rennes",48.1147,-1.6794,"France","admin",1069524,""
"Fuding",27.2,120.2,"China","minor",2233874,""
"Higüey",18.6181,-68.7111,"Dominican Republic","minor",724799,""
"Tripoli",34.4333,35.8333,"Lebanon","admin",1064102,""
"Kassala",15.45,36.4,"Sudan","admin",1051989,""
"Rouen",49.4428,1.0886,"France","admin",1230557,""
"Kingston upon Hull",53.7444,-0.3325,"United Kingdom","",1033993,""
"Kermān",30.2833,57.0667,"Iran","admin",748875,""
"Lausanne",46.5333,6.6333,"Switzerland","admin",693219,""
"Bīkaner",28.0181,73.3169,"India","",1663722,""
"Lublin",51.2333,22.5667,"Poland","admin",999186,""
"Farg‘ona",40.3864,71.7864,"Uzbekistan","admin",1695320,""
"Turbo",8.0931,-76.7283,"Colombia","minor",467229,""
"Leiria",39.7431,-8.8069,"Portugal","admin",528970,""
"Itabuna",-14.7858,-39.28,"Brazil","",519695,""
"Tanch’ŏn",40.458,128.911,"North Korea","",731704,""
"Wuhai",39.6844,106.8158,"China","minor",735387,""
"Mingguang",32.7816,117.9899,"China","",1145659,""
"Gibraltar",36.1324,-5.3781,"Gibraltar","primary",318578,""
"Calicut",11.25,75.7667,"India","minor",5970085,""
"Lianzhou",24.7868,112.3735,"China","minor",941231,""
"Fredrikstad",59.2167,10.95,"Norway","minor",455742,""
"Ardabīl",38.25,48.3,"Iran","admin",792435,""
"Kramatorsk",48.7208,37.5556,"Ukraine","",768063,""
"Mobile",30.6783,-88.1162,"United States","",593237,"AL"
"Bandar ‘Abbās",27.2,56.25,"Iran","admin",750750,""
"Denton",33.2176,-97.1419,"United States","",235907,"TX"
"Sóc Trăng",9.6,105.9719,"Vietnam","admin",1629247,""
"Yazd",31.8972,54.3678,"Iran","admin",769634,""
"Tunja",5.5403,-73.3614,"Colombia","admin",757250,""
"Rāmgundam",18.8,79.45,"India","",1036888,""
"Salzburg",47.7972,13.0477,"Austria","admin",963920,""
"Lansing",42.7142,-84.5601,"United States","admin",558196,"MI"
"Arāk",34.08,49.7,"Iran","admin",762179,""
"Sterlitamak",53.6333,55.95,"Russia","",645592,""
"Pohang",36.0322,129.365,"South Korea","minor",383884,""
"Jhānsi",25.4486,78.5696,"India","",3061003,""
"Anantapur",14.6833,77.6,"India","",1660909,""
"Udine",46.0667,13.2333,"Italy","minor",1001894,""
"Cluj-Napoca",46.78,23.5594,"Romania","admin",728317,""
"Suez",29.9667,32.5333,"Egypt","admin",832308,""
"Nagaoka",37.4333,138.8333,"Japan","",510499,""
"Zhoushan",29.9887,122.2049,"China","minor",1013702,""
"Mandi Burewala",30.15,72.6833,"Pakistan","",4720535,""
"Ujjain",23.1828,75.7772,"India","",1634583,""
"Beira",-19.8333,34.85,"Mozambique","admin",717572,""
"Almería",36.8403,-2.4681,"Spain","minor",591207,""
"Huntsville",34.6988,-86.6412,"United States","",688736,"AL"
"Córdoba",37.8845,-4.7796,"Spain","minor",536038,""
"Varna",43.2114,27.9111,"Bulgaria","admin",573800,""
"Al ‘Amārah",31.8333,47.15,"Iraq","admin",1056910,""
"Oruro",-17.9667,-67.1167,"Bolivia","",407618,""
"Manta",-0.95,-80.7162,"Ecuador","",865668,""
"Sūhāj",26.5606,31.6917,"Egypt","admin",4373893,""
"Košice",48.7167,21.25,"Slovakia","admin",968973,""
"Killeen",31.0754,-97.7296,"United States","",510050,"TX"
"Davenport",41.5563,-90.6052,"United States","",426128,"IA"
"Mykolaiv",46.9667,32,"Ukraine","admin",666549,""
"Taourirt",34.41,-2.89,"Morocco","",366518,""
"Asahikawa",43.7706,142.365,"Japan","",564884,""
"Los Mochis",25.7835,-108.9937,"Mexico","minor",593393,""
"Daet",14.1167,122.95,"Philippines","admin",540053,""
"Barddhamān",23.25,87.85,"India","",3380063,""
"Davangere",14.4667,75.9167,"India","",2265498,""
"Wałbrzych",50.7667,16.2833,"Poland","minor",901579,""
"Cagliari",39.2167,9.1167,"Italy","admin",619754,""
"Galaţi",45.4233,28.0425,"Romania","admin",715181,""
"Binxian",35.0364,108.0764,"China","",1418880,""
"Belfast",54.5964,-5.93,"United Kingdom","",1294028,""
"Franca",-20.5389,-47.4008,"Brazil","",575610,""
"Santo Tomas",7.5333,125.6167,"Philippines","",787143,""
"East London",-33.0153,27.9116,"South Africa","",605998,""
"Taozhou",30.8956,119.411,"China","minor",524514,""
"Mymensingh",24.7504,90.38,"Bangladesh","admin",9540235,""
"Chimbote",-9.0745,-78.5936,"Peru","",431085,""
"Godoy Cruz",-32.9167,-68.8333,"Argentina","minor",1398324,""
"Barrie",44.3711,-79.6769,"Canada","",488736,""
"Braşov",45.65,25.6,"Romania","admin",678898,""
"Suoluntun",45.1804,124.82,"China","",1524041,""
"Luxor",25.6969,32.6422,"Egypt","admin",4731708,""
"Sylhet",24.9,91.8667,"Bangladesh","admin",7487284,""
"Tarragona",41.1187,1.2453,"Spain","minor",722798,""
"Kāshān",33.9833,51.4333,"Iran","minor",459754,""
"Kursk",51.7372,36.1872,"Russia","admin",598943,""
"Nyala",12.05,24.8833,"Sudan","admin",1095010,""
"Curepipe",-20.3162,57.5166,"Mauritius","",1235048,""
"Jackson",32.3163,-90.2124,"United States","admin",535285,"MS"
"Vinnytsia",49.2167,28.4333,"Ukraine","admin",778569,""
"Nicosia",35.1725,33.365,"Cyprus","primary",1033818,""
"Pinar del Río",22.4122,-83.6719,"Cuba","admin",514395,""
"Safi",32.2833,-9.2333,"Morocco","",755001,""
"Macaé",-22.3708,-41.7869,"Brazil","",796799,""
"Jhang City",31.2681,72.3181,"Pakistan","minor",3090375,""
"Kuqa",41.7152,82.9604,"China","minor",696630,""
"Valladolid",41.6528,-4.7236,"Spain","admin",583236,""
"Shakhty",47.7,40.2333,"Russia","",623045,""
"Tacna",-18.0556,-70.2483,"Peru","admin",470441,""
"Belgaum",15.8667,74.5,"India","",2733951,""
"Surgut",61.25,73.4333,"Russia","",476218,""
"Fayetteville",35.0846,-78.9776,"United States","",728358,"NC"
"Wŏnsan",39.1475,127.4461,"North Korea","admin",1133726,""
"Matadi",-5.8167,13.4833,"Congo (Kinshasa)","admin",461855,""
"Salinas",36.6884,-121.6317,"United States","",412371,"CA"
"Thessaloníki",40.6403,22.9356,"Greece","admin",1307003,""
"Gonaïves",19.4456,-72.6883,"Haiti","admin",2230836,""
"Dunhua",43.3667,128.2333,"China","minor",496220,""
"Gulbarga",17.3333,76.8333,"India","",2224363,""
"Ponta Grossa",-25.095,-50.1619,"Brazil","",512624,""
"Belgorod",50.6,36.6,"Russia","admin",677057,""
"Constantine",36.365,6.6147,"Algeria","admin",2542621,""
"Tampere",61.4981,23.76,"Finland","admin",472448,""
"Cape Town",-33.925,18.425,"South Africa","primary",3656696,""
"Bryansk",53.25,34.3667,"Russia","admin",647267,""
"Fuyuan",48.3614,134.2875,"China","minor",107656,""
"Jāmnagar",22.47,70.07,"India","",1248776,""
"Araçatuba",-21.2089,-50.4328,"Brazil","",531000,""
"Nizhniy Tagil",57.9167,59.9667,"Russia","",538654,""
"Constanţa",44.1733,28.6383,"Romania","admin",592933,""
"Maizuru",35.45,135.3333,"Japan","",492727,""
"Damanhūr",31.05,30.4667,"Egypt","admin",6334832,""
"Vitória da Conquista",-14.8658,-40.8389,"Brazil","",453812,""
"Le Havre",49.49,0.1,"France","minor",715312,""
"Cascavel",-24.9558,-53.455,"Brazil","",581420,""
"Guasave",25.5744,-108.4706,"Mexico","minor",347332,""
"Peterborough",52.5725,-0.2431,"United Kingdom","",1065654,""
"Ambato",-1.2417,-78.6197,"Ecuador","admin",1210155,""
"Tallinn",59.4372,24.745,"Estonia","primary",1220593,""
"Gaya",24.75,85.0167,"India","",8328096,""
"Sidi Bouzid",35.0381,9.4858,"Tunisia","admin",507745,""
"Madanapalle",13.55,78.5,"India","",2033344,""
"San Juan",-31.5375,-68.5364,"Argentina","admin",683023,""
"Uíge",-7.6087,15.0613,"Angola","admin",439375,""
"Santo Antônio de Jesus",-12.9692,-39.2611,"Brazil","",489251,""
"Beian",48.2395,126.5037,"China","",762416,""
"Fujin",47.2489,132.0341,"China","minor",581005,""
"Buraydah",26.3333,43.9667,"Saudi Arabia","admin",729080,""
"Bafoussam",5.4667,10.4167,"Cameroon","admin",1799088,""
"Norwich",41.5495,-72.0882,"United States","",323896,"CT"
"Bukavu",-2.4908,28.8428,"Congo (Kinshasa)","admin",3565729,""
"Sīkar",27.6119,75.1397,"India","",2934486,""
"Varginha",-21.5508,-45.43,"Brazil","",513180,""
"Zamora",19.9833,-102.2833,"Mexico","",939797,""
"Mariupol",47.1306,37.5639,"Ukraine","",611409,""
"Likasi",-10.9833,26.7333,"Congo (Kinshasa)","",1642686,""
"Gabela",-10.85,14.3667,"Angola","",537315,""
"Nalgonda",17.05,79.27,"India","",2098949,""
"Goma",-1.6794,29.2336,"Congo (Kinshasa)","admin",3814501,""
"Cabo Frio",-22.8789,-42.0189,"Brazil","",602089,""
"Ōshū",39.1444,141.1389,"Japan","",454211,""
"Ploieşti",44.9386,26.0225,"Romania","admin",925056,""
"Huadian",42.9633,126.7478,"China","",530728,""
"Quilon",8.8853,76.5864,"India","",3056874,""
"Alagoinhas",-12.1356,-38.4189,"Brazil","",407984,""
"Simferopol",44.9484,34.1,"Ukraine","admin",742637,""
"Plymouth",50.3714,-4.1422,"United Kingdom","",871498,""
"Jinchang",38.5168,102.1866,"China","minor",385894,""
"Ciego de Ávila",21.8481,-78.7631,"Cuba","admin",467973,""
"Minzhu",43.7192,127.337,"China","minor",304681,""
"Bissau",11.8592,-15.5956,"Guinea-Bissau","primary",628344,""
"Kota Kinabalu",5.975,116.0725,"Malaysia","admin",1048040,""
"Dire Dawa",9.5833,41.8667,"Ethiopia","admin",2776458,""
"Ulan-Ude",51.8272,107.6064,"Russia","admin",510342,""
"Udaipur",24.5833,73.6833,"India","",2573901,""
"Āwasa",7.05,38.4667,"Ethiopia","admin",5142708,""
"Tuxtepec",18.1,-96.1167,"Mexico","",616211,""
"Lagarto",-10.9169,-37.65,"Brazil","",473517,""
"Lafayette",30.2084,-92.0323,"United States","",552883,"LA"
"Pematangsiantar",2.96,99.06,"Indonesia","",1471870,""
"San José",9.9333,-84.0833,"Costa Rica","primary",3168758,""
"Cachoeiro de Itapemirim",-20.8489,-41.1128,"Brazil","",514017,""
"Merced",37.3057,-120.4778,"United States","",446657,"CA"
"Iwaki",37.0333,140.8833,"Japan","",406593,""
"Taiping",32.0691,108.0351,"China","",771684,""
"Bremerhaven",53.55,8.5833,"Germany","",496421,""
"Fort Wayne",41.0886,-85.1437,"United States","",593508,"IN"
"Rio Branco",-9.9781,-67.8117,"Brazil","admin",474819,""
"Mataram",-8.5833,116.1167,"Indonesia","admin",2753753,""
"Rāichūr",16.2,77.3667,"India","",1953216,""
"Abbotsford",49.05,-122.3167,"Canada","",500685,""
"Trieste",45.6503,13.7703,"Italy","admin",507116,""
"Bukhara",39.7747,64.4286,"Uzbekistan","admin",1667538,""
"Métouia",33.96,10,"Tunisia","",402381,""
"Santa Clara",22.4067,-79.9531,"Cuba","admin",845351,""
"Neuquén",-38.9573,-68.0455,"Argentina","admin",614560,""
"Birkirkara",35.9,14.4667,"Malta","admin",418827,""
"Kennewick",46.1978,-119.1732,"United States","",356977,"WA"
"Ljubljana",46.05,14.5167,"Slovenia","primary",878135,""
"Bijeljina",44.75,19.2167,"Bosnia And Herzegovina","minor",734787,""
"Kupang",-10.1633,123.5778,"Indonesia","admin",783158,""
"Quzhou",28.9545,118.8763,"China","",1753202,""
"Zanjān",36.6667,48.4833,"Iran","admin",641267,""
"Mariveles",14.4333,120.4833,"Philippines","",436841,""
"Birāṭnagar",26.4833,87.2833,"Nepal","admin",7096257,""
"Hotan",37.1012,79.9327,"China","minor",1343812,""
"Magnitogorsk",53.3833,59.0333,"Russia","",492609,""
"Welkom",-27.9831,26.7208,"South Africa","",369198,""
"Hachinohe",40.5122,141.4883,"Japan","",454916,""
"Cusco",-13.5222,-71.9833,"Peru","admin",336662,""
"Tehuacán",18.4617,-97.3928,"Mexico","minor",540538,""
"Tver",56.8578,35.9219,"Russia","admin",518055,""
"Zlatoust",55.1667,59.6667,"Russia","",468544,""
"Pavlodar",52.3156,76.9564,"Kazakhstan","admin",444297,""
"Porto Velho",-8.7619,-63.9039,"Brazil","admin",500748,""
"Sokoto",13.0622,5.2339,"Nigeria","admin",2800818,""
"Kecskemét",46.9074,19.6917,"Hungary","admin",522230,""
"Elazığ",38.6667,39.2167,"Turkey","admin",502400,""
"Craiova",44.3333,23.8167,"Romania","admin",744446,""
"Akola",20.7333,77,"India","",2400139,""
"Zhytomyr",50.2544,28.6578,"Ukraine","admin",635411,""
"Pindamonhangaba",-22.9239,-45.4617,"Brazil","",517985,""
"Mogi Guaçu",-22.3719,-46.9419,"Brazil","",668863,""
"Buenaventura",3.8772,-77.0267,"Colombia","minor",396233,""
"Corpus Christi",27.726,-97.3755,"United States","",421659,"TX"
"Nueva Concepción",14.1997,-91.2997,"Guatemala","minor",678324,""
"Montes Claros",-16.7322,-43.8636,"Brazil","",504672,""
"Beersheba",31.2589,34.7978,"Israel","admin",2227650,""
"Hpa-An",16.8906,97.6333,"Myanmar","admin",1641162,""
"Holguín",20.8872,-76.2631,"Cuba","admin",812680,""
"Vladimir",56.1286,40.4058,"Russia","admin",536092,""
"Comitán",16.2511,-92.1342,"Mexico","minor",562924,""
"Mishan",45.542,131.8666,"China","minor",361357,""
"Juliaca",-15.4908,-70.1269,"Peru","",589668,""
"Cottbus",51.7606,14.3342,"Germany","minor",561302,""
"El Jadid",33.2342,-8.5228,"Morocco","",696932,""
"Seremban",2.7297,101.9381,"Malaysia","admin",821308,""
"Zhengjiatun",43.513,123.5003,"China","",682778,""
"Mbeya",-8.9,33.45,"Tanzania","admin",1033355,""
"Gəncə",40.6828,46.3606,"Azerbaijan","admin",850696,""
"Hongzhai",35.0476,104.6394,"China","",1123726,""
"Brest",52.0847,23.6569,"Belarus","admin",638075,""
"Ivano-Frankivsk",48.9228,24.7106,"Ukraine","admin",976967,""
"El Obeid",13.1833,30.2167,"Sudan","admin",707382,""
"Dalai",45.505,124.2863,"China","",516466,""
"Kolwezi",-10.7167,25.4667,"Congo (Kinshasa)","admin",555045,""
"Maasin",10.1333,124.85,"Philippines","admin",409881,""
"Nukus",42.4647,59.6022,"Uzbekistan","admin",629892,""
"Arusha",-3.3667,36.6833,"Tanzania","admin",1131027,""
"Aqtöbe",50.2836,57.2297,"Kazakhstan","admin",636380,""
"Port Elizabeth",-33.9581,25.6,"South Africa","",1080005,""
"Roanoke",37.2785,-79.958,"United States","",469913,"VA"
"Mardan",34.1958,72.0447,"Pakistan","minor",4612960,""
"Maroua",10.5823,14.3275,"Cameroon","admin",1511692,""
"Nagqu",31.4766,92.0569,"China","minor",78732,""
"Kamālshahr",35.8622,50.8717,"Iran","",828916,""
"Chapecó",-27.0958,-52.6178,"Brazil","",485961,""
"Matanzas",23.0494,-81.5736,"Cuba","admin",542971,""
"Malay",11.9,121.9167,"Philippines","",501207,""
"León",12.4333,-86.8833,"Nicaragua","admin",540022,""
"Jayapura",-2.5333,140.7167,"Indonesia","admin",536325,""
"Dover",43.1887,-70.8845,"United States","",376088,"NH"
"Sanandaj",35.3097,46.9989,"Iran","admin",607601,""
"Cedar Rapids",41.9665,-91.6782,"United States","",422756,"IA"
"Hradec Králové",50.2092,15.8319,"Czechia","admin",762863,""
"Sochi",43.5853,39.7203,"Russia","",433732,""
"Rzeszów",50.05,22,"Poland","admin",1281143,""
"Iida",35.5147,137.8219,"Japan","",466519,""
"Itapipoca",-3.4939,-39.5789,"Brazil","",499660,""
"Dodoma",-6.1835,35.746,"Tanzania","primary",645560,""
"San Luis Río Colorado",32.4767,-114.7625,"Mexico","minor",510873,""
"Anápolis",-16.3269,-48.9528,"Brazil","",244438,""
"Coquimbo",-29.9532,-71.338,"Chile","minor",483928,""
"Bhāgalpur",25.25,87.0167,"India","",10000783,""
"Türkmenabat",39.1,63.5667,"Turkmenistan","admin",833025,""
"Zaria",11.0667,7.7,"Nigeria","minor",2636164,""
"Bamiantong",44.9164,130.5212,"China","minor",298253,""
"Johnson City",36.3406,-82.3803,"United States","",529935,"TN"
"Turku",60.4517,22.27,"Finland","admin",347981,""
"Maseru",-29.31,27.48,"Lesotho","primary",708737,""
"Christchurch",-43.5309,172.6365,"New Zealand","admin",526924,""
"Huancayo",-12.0667,-75.2167,"Peru","admin",318087,""
"Borūjerd",33.8972,48.7514,"Iran","minor",875524,""
"Iaşi",47.1622,27.5889,"Romania","admin",874826,""
"Kalamazoo",42.2749,-85.5882,"United States","",501692,"MI"
"Al Kūt",32.4907,45.8304,"Iraq","admin",915966,""
"Kaesŏng",37.964,126.5644,"North Korea","minor",1201141,""
"Kempten",47.7333,10.3167,"Germany","minor",702601,""
"Colima",19.2433,-103.7247,"Mexico","admin",651711,""
"Halifax",44.6475,-63.5906,"Canada","admin",431821,""
"Santa Maria",34.9334,-120.4432,"United States","",364910,"CA"
"Jaén",37.7667,-3.7711,"Spain","minor",462041,""
"Myrtle Beach",33.7096,-78.8843,"United States","",432563,"SC"
"Sandakan",5.8388,118.1173,"Malaysia","",581765,""
"Norwich",52.63,1.297,"United Kingdom","",781480,""
"Puducherry",11.93,79.83,"India","admin",4165493,""
"Qoqon",40.5404,70.94,"Uzbekistan","",2088073,""
"Dezfūl",32.3878,48.4033,"Iran","minor",883317,""
"Pouso Alegre",-22.2281,-45.9336,"Brazil","",484366,""
"Teziutlan",19.8178,-97.3667,"Mexico","",803631,""
"Dera Ghazi Khan",30.05,70.6333,"Pakistan","minor",3306043,""
"Metz",49.1203,6.1778,"France","minor",593692,""
"Gulfport",30.4271,-89.0703,"United States","",328392,"MS"
"Machala",-3.2667,-79.9667,"Ecuador","admin",717223,""
"Piteşti",44.8667,24.8833,"Romania","admin",804467,""
"Winter Haven",28.0118,-81.7017,"United States","",423564,"FL"
"Yamoussoukro",6.8161,-5.2742,"Côte d'Ivoire","primary",875192,""
"Viseu",40.6575,-7.9139,"Portugal","admin",356608,""
"Thanh Hóa",19.8075,105.7764,"Vietnam","admin",2675071,""
"Chiquimula",14.7833,-89.5333,"Guatemala","admin",791524,""
"Saurimo",-9.6589,20.3934,"Angola","admin",376433,""
"Būkān",36.5211,46.2089,"Iran","minor",641117,""
"Prosperidad",8.6057,125.9153,"Philippines","admin",441542,""
"Yola",9.2,12.4833,"Nigeria","admin",1287715,""
"Brahmapur",19.32,84.8,"India","",3311433,""
"Ad Dīwānīyah",31.9892,44.9247,"Iraq","admin",914198,""
"Jessore",23.1704,89.2,"Bangladesh","",4397309,""
"Sobral",-3.6856,-40.3442,"Brazil","",438426,""
"Karamay",45.5928,84.8711,"China","minor",388886,""
"Kolomna",55.0833,38.7833,"Russia","",637971,""
"Ijebu-Ode",6.8204,3.92,"Nigeria","minor",1281609,""
"Vellore",12.9204,79.15,"India","",4446463,""
"Tieli",46.9838,128.04,"China","minor",520618,""
"Bhīlwāra",25.35,74.6333,"India","",2122584,""
"Murmansk",68.9667,33.0833,"Russia","admin",425653,""
"Adana",37,35.325,"Turkey","admin",2398069,""
"Asheville",35.5704,-82.5536,"United States","",517684,"NC"
"Uberaba",-19.7478,-47.9319,"Brazil","",441164,""
"Rivne",50.6197,26.2514,"Ukraine","admin",707274,""
"Canberra",-35.2931,149.1269,"Australia","primary",462123,""
"San Cristóbal",16.7367,-92.6383,"Mexico","minor",615715,""
"Springfield",37.1943,-93.2916,"United States","",507801,"MO"
"San Tan Valley",33.1879,-111.5472,"United States","",433400,"AZ"
"Miskolc",48.1,20.7833,"Hungary","admin",705831,""
"Szeged",46.25,20.1667,"Hungary","admin",645198,""
"Cherkasy",49.4444,32.0597,"Ukraine","admin",622459,""
"Peoria",40.752,-89.6153,"United States","",401746,"IL"
"Mwanza",-2.5167,32.9,"Tanzania","admin",1463598,""
"Huacho",-11.1083,-77.6083,"Peru","admin",341863,""
"Hrodna",53.6667,23.8167,"Belarus","admin",538852,""
"Ḩā’il",27.5236,41.7001,"Saudi Arabia","admin",311437,""
"Rāiganj",25.6167,88.1167,"India","",6410019,""
"Newport News",37.1051,-76.5185,"United States","",440996,"VA"
"Stoke-on-Trent",53,-2.1833,"United Kingdom","",460312,""
"Ubá",-21.12,-42.9428,"Brazil","",541411,""
"Acarigua",9.5597,-69.2019,"Venezuela","minor",593086,""
"Kediri",-7.8111,112.0047,"Indonesia","",5500525,""
"Ar Raqqah",35.95,39.01,"Syria","admin",599518,""
"Pokhara",28.2097,83.9853,"Nepal","admin",1455188,""
"Gusau",12.1667,6.6667,"Nigeria","admin",1908273,""
"Bamberg",49.8917,10.8917,"Germany","minor",556154,""
"Cloppenburg",52.8478,8.0439,"Germany","minor",661955,""
"Port Arthur",29.8554,-93.9264,"United States","",332742,"TX"
"Playa del Carmen",20.6275,-87.0811,"Mexico","minor",376999,""
"Bordj Bou Arreridj",36.0667,4.7667,"Algeria","admin",1054662,""
"Aydın",37.8481,27.8453,"Turkey","admin",1084416,""
"Fulda",50.5528,9.6775,"Germany","minor",666243,""
"Huelva",37.25,-6.95,"Spain","minor",433039,""
"Clermont-Ferrand",45.7831,3.0824,"France","minor",706364,""
"San Salvador de Jujuy",-24.1856,-65.2994,"Argentina","admin",479280,""
"Purnea",25.78,87.47,"India","",5423556,""
"Kaluga",54.5333,36.2667,"Russia","admin",517919,""
"Parbhani",19.2704,76.76,"India","",1888455,""
"Aswān",24.0889,32.8997,"Egypt","admin",820349,""
"Senahú",15.4164,-89.8203,"Guatemala","minor",347962,""
"Ourinhos",-22.9789,-49.8708,"Brazil","",408155,""
"Iquitos",-3.7333,-73.25,"Peru","admin",90493,""
"Governador Valadares",-18.8508,-41.9489,"Brazil","",386386,""
"Vitsyebsk",55.1833,30.1667,"Belarus","admin",473337,""
"Wilmington",34.21,-77.8866,"United States","",422184,"NC"
"San Juan",18.81,-71.23,"Dominican Republic","admin",454895,""
"Cumaná",10.45,-64.1667,"Venezuela","admin",554045,""
"Lātūr",18.4004,76.57,"India","",2830173,""
"Tanjore",10.8,79.15,"India","",2949916,""
"Khorramābād",33.4667,48.35,"Iran","admin",503701,""
"Karaköprü",37.1803,38.8111,"Turkey","minor",1228365,""
"Vologda",59.2167,39.9,"Russia","admin",423869,""
"Juba",4.85,31.6,"South Sudan","primary",460950,""
"Ambon",-3.705,128.17,"Indonesia","admin",812756,""
"Rostock",54.0833,12.1333,"Germany","",540688,""
"Columbus",32.51,-84.8771,"United States","",416778,"GA"
"San Jose",10.75,121.95,"Philippines","admin",364422,""
"Loulé",37.144,-8.0235,"Portugal","minor",391220,""
"Ciudad Obregón",27.4939,-109.9389,"Mexico","minor",540834,""
"Bhatinda",30.2133,74.9519,"India","",3317933,""
"Panshi",42.9392,126.0561,"China","",327610,""
"Chilpancingo",17.55,-99.5,"Mexico","admin",660502,""
"Rājapālaiyam",9.4204,77.58,"India","",2391212,""
"Sfax",34.74,10.76,"Tunisia","admin",902397,""
"Eugene",44.0563,-123.1173,"United States","",364286,"OR"
"Kaunas",54.9,23.9333,"Lithuania","admin",538061,""
"San Jose",12.3528,121.0676,"Philippines","",394265,""
"Mahilyow",53.9089,30.343,"Belarus","admin",521080,""
"Shreveport",32.4656,-93.7956,"United States","",425002,"LA"
"Jendouba",36.5011,8.7803,"Tunisia","admin",750860,""
"Warner Robins",32.597,-83.6529,"United States","",460270,"GA"
"La Spezia",44.108,9.8289,"Italy","minor",454375,""
"Posadas",-27.3667,-55.8969,"Argentina","admin",817709,""
"Saransk",54.1833,45.1833,"Russia","admin",492020,""
"Tepic",21.5083,-104.8931,"Mexico","admin",703833,""
"Chernivtsi",48.2908,25.9344,"Ukraine","admin",995285,""
"Castanhal",-1.2969,-47.9219,"Brazil","",436379,""
"Tambov",52.7167,41.4333,"Russia","admin",515755,""
"Cuenca",-2.8974,-79.0045,"Ecuador","admin",952786,""
"Olomouc",49.5939,17.2508,"Czechia","admin",689315,""
"Monclova",26.9103,-101.4222,"Mexico","minor",379307,""
"Tottori",35.5011,134.235,"Japan","",443033,""
"Phatthaya",12.9496,100.893,"Thailand","",2011354,""
"Middlesbrough",54.5767,-1.2355,"United Kingdom","",729235,""
"Binghamton",42.1014,-75.9093,"United States","",303893,"NY"
"Ann Arbor",42.2755,-83.7312,"United States","",408921,"MI"
"Bengkulu",-3.7956,102.2592,"Indonesia","admin",935111,""
"Linxia Chengguanzhen",35.6,103.2167,"China","minor",1805669,""
"Marysville",48.0809,-122.1561,"United States","",304931,"WA"
"Chingola",-12.5447,27.8708,"Zambia","",1147978,""
"Wudalianchi",48.6433,126.1408,"China","",186340,""
"Escada",-8.3592,-35.2236,"Brazil","",458413,""
"Evansville",37.9881,-87.5341,"United States","",458298,"IN"
"Jequié",-13.8578,-40.0839,"Brazil","",336469,""
"Žilina",49.2167,18.7333,"Slovakia","admin",831320,""
"Khowy",38.5503,44.9519,"Iran","minor",615136,""
"Palu",-0.895,119.8594,"Indonesia","admin",922597,""
"Tagudin",16.9333,120.45,"Philippines","",437408,""
"Santiago del Estero",-27.7844,-64.2669,"Argentina","admin",515217,""
"Orsk",51.229,58.4681,"Russia","",414096,""
"Osmaniye",37.075,36.25,"Turkey","admin",883706,""
"Taraz",42.8833,71.3667,"Kazakhstan","admin",307042,""
"Castellón de la Plana",39.9831,-0.0331,"Spain","minor",446387,""
"Bahía Blanca",-38.7167,-62.2667,"Argentina","minor",385450,""
"Hinthada",17.6483,95.4679,"Myanmar","",1928014,""
"Lishui",28.45,119.9167,"China","minor",1148672,""
"Ocala",29.178,-82.1511,"United States","",739653,"FL"
"Mai’Adua",13.1906,8.2117,"Nigeria","minor",2651151,""
"Hat Yai",7.0167,100.4667,"Thailand","minor",1402266,""
"Reading",51.4542,-0.9731,"United Kingdom","",582815,""
"Botoşani",47.7486,26.6694,"Romania","admin",679954,""
"Gedaref",14.0333,35.3833,"Sudan","admin",548355,""
"Ciudad Hidalgo",19.6917,-100.5536,"Mexico","minor",864257,""
"Laoang",12.5667,125.0167,"Philippines","",336807,""
"Lugano",46.0103,8.9625,"Switzerland","",824383,""
"Chita",52.0333,113.5,"Russia","admin",380865,""
"Van",38.5019,43.4167,"Turkey","admin",699304,""
"Lübeck",53.8697,10.6864,"Germany","minor",472541,""
"Licheng",24.4935,110.3902,"China","minor",1156864,""
