"county","state","lat","long","population"
"Lancaster","Pennsylvania",40.0424,-76.2477,543050
"Dane","Wisconsin",43.0673,-89.4181,542459
"Summit","Ohio",41.126,-81.5322,540810
"Pasco","Florida",28.3091,-82.3932,539885
"Guilford","North Carolina",36.0795,-79.7889,532956
"Montgomery","Ohio",39.7547,-84.2907,531988
"Kane","Illinois",41.9388,-88.4286,531756
"Chester","Pennsylvania",39.9731,-75.7484,521980
"Plymouth","Massachusetts",41.9512,-70.8114,518597
"Greenville","South Carolina",34.8941,-82.3706,516126
"Sedgwick","Kansas",37.6848,-97.461,515416
"Spokane","Washington",47.6207,-117.404,513402
"Adams","Colorado",39.8737,-104.3379,509844
"Camden","New Jersey",39.8035,-74.9597,506721
"Passaic","New Jersey",41.0343,-74.3008,502763
"Sonoma","California",38.5289,-122.8881,496801
"Morris","New Jersey",40.862,-74.5445,492715
"Lake","Indiana",41.4167,-87.3821,485983
"Polk","Iowa",41.6855,-93.5735,485418
"Clark","Washington",45.7791,-122.4826,481950
"Richmond","New York",40.5808,-74.1524,475596
"Ada","Idaho",43.4511,-116.2412,469473
"Prince William","Virginia",38.7029,-77.4809,466834
"Seminole","Florida",28.717,-81.2363,466695
"Hampden","Massachusetts",42.1351,-72.6316,466647
"Knox","Tennessee",35.9932,-83.9371,466184
"Washoe","Nevada",40.6656,-119.6643,464182
"Tulare","California",36.2202,-118.8005,463955
"Onondaga","New York",43.0058,-76.1946,461591
"Virginia Beach","Virginia",36.7335,-76.0435,450882
"York","Pennsylvania",39.92,-76.7265,447628
"Pinal","Arizona",32.9044,-111.3448,447559
"Burlington","New Jersey",39.8777,-74.6681,446301
"Santa Barbara","California",34.6729,-120.0169,444895
"Solano","California",38.27,-121.9329,444538
"East Baton Rouge","Louisiana",30.5383,-91.0956,443158
"Jefferson","Louisiana",29.7872,-90.1274,434903
"Monterey","California",36.2171,-121.2388,432977
"Lucas","Ohio",41.6197,-83.659,430319
"Sarasota","Florida",27.1845,-82.3315,427766
"Dakota","Minnesota",44.6719,-93.0654,425271
"Cameron","Texas",26.1333,-97.5182,422135
"Berks","Pennsylvania",40.4163,-75.926,419062
"Hillsborough","New Hampshire",42.9153,-71.7161,415305
"Clackamas","Oregon",45.188,-122.2209,415084
"Richland","South Carolina",34.0218,-80.9031,414660
"Mobile","Alabama",30.7872,-88.2058,413977
"Charleston","South Carolina",32.8346,-79.9531,407543
"Genesee","Michigan",43.0217,-83.7067,406770
"Loudoun","Virginia",39.0907,-77.6357,405312
"Waukesha","Wisconsin",43.0182,-88.3045,402637
"St. Charles","Missouri",38.782,-90.6749,398472
"Manatee","Florida",27.4719,-82.3153,393847
"Pulaski","Arkansas",34.77,-92.312,393078
"Placer","California",39.0634,-120.7177,391799
"Orleans","Louisiana",30.0687,-89.9288,391249
"Butler","Ohio",39.4386,-84.5756,382129
"Orange","New York",41.4021,-74.3056,382077
"Collier","Florida",26.1107,-81.3475,379345
"Forsyth","North Carolina",36.1306,-80.2563,378499
"Lane","Oregon",43.9387,-122.8479,377749
"Allen","Indiana",41.0909,-85.0666,375520
"Stark","Ohio",40.8139,-81.3656,371516
"Washtenaw","Michigan",42.2532,-83.8388,368385
"Mercer","New Jersey",40.2834,-74.7018,368085
"Brazoria","Texas",29.1897,-95.4521,368062
"Madison","Alabama",34.7631,-86.5502,367686
"Lehigh","Pennsylvania",40.6127,-75.5924,367338
"Hamilton","Tennessee",35.1808,-85.1648,364718
"Osceola","Florida",28.0626,-81.1495,363666
"Nueces","Texas",27.7254,-97.6134,362151
"Marion","Florida",29.2102,-82.0567,360210
"Lake","Florida",28.7615,-81.7113,356115
"Bell","Texas",31.0373,-97.4788,355700
"Anoka","Minnesota",45.2733,-93.2465,353775
"Davis","Utah",40.99,-112.1115,350761
"Westmoreland","Pennsylvania",40.3109,-79.4668,350722
"Larimer","Colorado",40.6664,-105.4612,350523
"Chesterfield","Virginia",37.3785,-77.587,348500
"Douglas","Colorado",39.3297,-104.9296,344280
"Horry","South Carolina",33.9214,-78.9966,344186
"Marion","Oregon",44.9033,-122.5846,343742
"Galveston","Texas",29.3945,-94.9635,337600
"Cumberland","North Carolina",35.0487,-78.8277,334562
"Hamilton","Indiana",40.0725,-86.052,330455
"Somerset","New Jersey",40.5635,-74.6163,330151
"Henrico","Virginia",37.538,-77.4058,330076
"Rockland","New York",41.1524,-74.0241,325213
"Boulder","Colorado",40.0925,-105.3577,324682
"Rutherford","Tennessee",35.8427,-86.4167,324139
"Howard","Maryland",39.2507,-76.9312,322407
"Fayette","Kentucky",38.0423,-84.4587,322200
"St. Lucie","Florida",27.3772,-80.472,320914
"Durham","North Carolina",36.036,-78.8766,317665
"Luzerne","Pennsylvania",41.177,-75.9891,317547
"Escambia","Florida",30.669,-87.363,316691
"Lancaster","Nebraska",40.7842,-96.6878,315976
"Weld","Colorado",40.5548,-104.3925,315389
"Spartanburg","South Carolina",34.9309,-81.9908,313791
"Lorain","Ohio",41.2956,-82.151,309134
"Lubbock","Texas",33.6102,-101.8205,308392
"Rockingham","New Hampshire",42.9876,-71.1254,308211
"McHenry","Illinois",42.3244,-88.4523,307291
"Albany","New York",42.6002,-73.9736,306165
"St. Louis","Missouri",38.6359,-90.2451,304709
"Northampton","Pennsylvania",40.7542,-75.3076,304233
"Lexington","South Carolina",33.9023,-81.2722,295033
"Cumberland","Maine",43.8465,-70.399,294520
"Dutchess","New York",41.7651,-73.7429,293524
"Anchorage","Alaska",61.1508,-149.1091,292090
"Leon","Florida",30.458,-84.2779,291863
"Gloucester","New Jersey",39.7173,-75.1414,291745
"Greene","Missouri",37.258,-93.342,291574
"Ingham","Michigan",42.5971,-84.3735,290923
